Date,Ticker,Metric,Value
2024-09-13,INFY,MA90,1628.7759385850695
2024-09-16,INFY,MA90,1634.5122111002604
2024-09-17,INFY,MA90,1640.4192043728299
2024-09-18,INFY,MA90,1645.5409966362847
2024-09-19,INFY,MA90,1650.8414862738716
2024-09-20,INFY,MA90,1656.2825954861112
2024-09-23,INFY,MA90,1661.609598795573
2024-09-24,INFY,MA90,1667.0106323242187
2024-09-25,INFY,MA90,1672.0191433376735
2024-09-26,INFY,MA90,1677.1779500325522
2024-09-27,INFY,MA90,1682.5155951605902
2024-09-30,INFY,MA90,1687.2951958550348
2024-10-01,INFY,MA90,1692.198262532552
2024-10-03,INFY,MA90,1697.06067843967
2024-10-04,INFY,MA90,1702.124464246962
2024-10-07,INFY,MA90,1707.4091430664062
2024-10-08,INFY,MA90,1713.020179578993
2024-10-09,INFY,MA90,1718.9277370876737
2024-10-10,INFY,MA90,1724.475621202257
2024-10-11,INFY,MA90,1730.2087578667536
2024-10-14,INFY,MA90,1736.3324462890625
2024-10-15,INFY,MA90,1742.0655856662327
2024-10-16,INFY,MA90,1746.9174099392362
2024-10-17,INFY,MA90,1751.6246066623264
2024-10-18,INFY,MA90,1755.73974609375
2024-10-21,INFY,MA90,1759.6073404947917
2024-10-22,INFY,MA90,1763.5767673068576
2024-10-23,INFY,MA90,1767.6875759548611
2024-10-24,INFY,MA90,1771.7442152235244
2024-10-25,INFY,MA90,1775.6860202365451
2024-10-28,INFY,MA90,1779.5211127387154
2024-10-29,INFY,MA90,1783.256995985243
2024-10-30,INFY,MA90,1786.397859700521
2024-10-31,INFY,MA90,1789.1074313693575
2024-11-01,INFY,MA90,1791.6961100260417
2024-11-04,INFY,MA90,1794.329012044271
2024-11-05,INFY,MA90,1796.5046522352432
2024-11-06,INFY,MA90,1799.5133029513888
2024-11-07,INFY,MA90,1802.0351440429688
2024-11-08,INFY,MA90,1804.524009874132
2024-11-11,INFY,MA90,1807.274434407552
2024-11-12,INFY,MA90,1809.868303765191
2024-11-13,INFY,MA90,1812.492458767361
2024-11-14,INFY,MA90,1814.920591905382
2024-11-18,INFY,MA90,1816.8156616210938
2024-11-19,INFY,MA90,1818.9528781467013
2024-11-21,INFY,MA90,1821.1437866210938
2024-11-22,INFY,MA90,1823.4422336154514
2024-11-25,INFY,MA90,1825.654087999132
2024-11-26,INFY,MA90,1828.037570529514
2024-11-27,INFY,MA90,1830.0782131618923
2024-11-28,INFY,MA90,1830.997336154514
2024-11-29,INFY,MA90,1831.735686577691
2024-12-02,INFY,MA90,1832.4323269314236
2024-12-03,INFY,MA90,1833.2956949869792
2024-12-04,INFY,MA90,1834.226422797309
2024-12-05,INFY,MA90,1835.0712307400174
2024-12-06,INFY,MA90,1835.8641276041667
2024-12-09,INFY,MA90,1836.605177137587
2024-12-10,INFY,MA90,1837.7154744466145
2024-12-11,INFY,MA90,1839.27581515842
2024-12-12,INFY,MA90,1841.3171264648438
2024-12-13,INFY,MA90,1844.2483574761284
2024-12-16,INFY,MA90,1846.9729532877604
